,SMILES,Cluster
17600,N#C[C@@H]1C[C@H](C(=O)N2CC(F)(F)C2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,1
17601,N#C[C@@H]1C[C@H](C(=O)N[C@@H](C2CC2)C(F)(F)F)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,1
17483,N#C[C@H]1CC(N(C2CC2)C2CC2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,1
35011,N#C[C@@H]1CCOC[C@H]1n1cc(C(N)=O)c(Nc2cncc(F)c2)n1,1
85,N#C[C@H]1C[C@H](OC(=O)Nc2ccccc2)CCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,1
84,N#C[C@H]1C[C@@H](OC(=O)NC2CCCCC2)CCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,1
34930,N#CCC1(COC(=O)N2CC[C@@H](C#N)[C@H](n3cc(C(N)=O)c(Nc4ccc(F)cc4)n3)C2)CC1,1
41068,N#C[C@@H]1CCN(C(=O)OCC(F)(F)F)C[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,1
41077,CC(C)(C)OC(=O)N1CC[C@H](n2cc(C(N)=O)c(Nc3ccccc3)n2)[C@@H](C#N)C1,1
17593,N#C[C@@H]1C[C@H](C(=O)NC(C2CC2)C2CC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,1
26913,N#C[C@H]1C[C@@H](O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,1
26914,N#C[C@H]1C[C@H](O)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)F)cc2)n1,1
32895,N#C[C@H]1CS(=O)(=O)C[C@H]1n1cc(C(N)=O)c(Nc2ccnc(F)c2)n1,1
42489,Cn1cc(-c2ccc(Nc3nn([C@H]4COCC[C@@H]4C#N)cc3C(N)=O)cc2)cn1,1
42497,Cc1ncnc2ccc(Nc3nn([C@H]4COCC[C@@H]4C#N)cc3C(N)=O)cc12,1
42450,N#C[C@H]1CCOC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(C3CC3)cc2)n1,1
32140,CC(OC(=O)N1CC[C@@H](C#N)[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1)C1CC1,1
32068,N#C[C@@H]1CCN(C(=O)OC2COC2)C[C@H]1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,1
26905,N#C[C@@H]1CC(CN)CCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,1
26906,CN(C)CC1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,1
